Symbol,Company Name,Sector,Industry
BELDF,BATERO GOLD CORP,Materials,Metals & Mining
BTURF,BATHURST RESOURCES LIMITED SHS,,
BTAVF,BATM ADVANCED COMMUNICATIONS ORD,,
BATL,Battalion Oil Corp,Energy,"Oil, Gas & Consumable Fuels"
BXRX,Baudax Bio Inc,,
BRAGF,BAUER AG SHS,,
BHC,Bausch Health Companies Inc,Health Care,Pharmaceuticals
BVNKF,BAVARIAN NORDIC RESH INSTITUTE SHS,,
BAX,Baxter International Inc,Health Care,Health Care Equipment & Supplies
BAYK,Bay Banks of Virginia Inc,Financials,Banks
BAYN,Bay National Corporation,,
BCML,BayCom Corp,Financials,Banks
BAYRY,Bayer AG (ADR),Health Care,Pharmaceuticals
BYMOF,BAYERISCHE MOTOREN WERKE A G PREF SHS VTG RTS,,
KXPLF,BAYHORSE SILVER INC,Materials,Metals & Mining
BYIN,Baying Ecological Holding Group Inc,,
BAYP,Bayport International Holdings Inc,,
BYSD,Bayside Corp,,
BTE,Baytex Energy Corp (USA),Energy,"Oil, Gas & Consumable Fuels"
BLIAQ,BB Liquidating Inc,,
BBQ,BBQ Holdings Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BBX,BBX Capital Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BCBP,"BCB Bancorp, Inc.",Financials,Banks
BCE,BCE Inc. (USA),Communication Services,Diversified Telecommunication Services
BHIN,BCI Holding Inc,,
BIRNF,BCI MINERALS LTD SHS,,
JALA,Be Active Holdings Inc,,
BSRSF,BE RES INC COM,,
BESIY,BE Semiconductor Industrs NV (USA),Information Technology,Semiconductors & Semiconductor Equipment
BCND,Beacon Redevelopment Industrial Corp,,
BECN,"Beacon Roofing Supply, Inc.",Industrials,Trading Companies & Distributors
BEAM,Beam Therapeutics Inc,Health Care,Biotechnology
BZIC,Beamz Interactive Inc,Consumer Discretionary,Leisure Products
RNBI,Bear Oil Co,Materials,Metals & Mining
BRCOQ,Beard Co,,
BBGI,Beasley Broadcast Group Inc,Communication Services,Media
BZH,"Beazer Homes USA, Inc.",Consumer Discretionary,Household Durables
BEBE,"bebe stores, inc.",Consumer Discretionary,Specialty Retail
BDX,Becton Dickinson and Co,Health Care,Health Care Equipment & Supplies
BBBY,Bed Bath & Beyond Inc.,Consumer Discretionary,Specialty Retail
BFTI,Befut Global Inc,Industrials,Construction & Engineering
BGNE,Beigene Ltd (ADR),Health Care,Biotechnology
BJCLF,BEIJING CAP LAND CO LTD SHS H,,
BJINF,BEIJING ENTERPRISES HLDGS LTD SHS,,
BJWTF,BEIJING ENTRPRS WATER GRP LTD SHS,,
IQ,Beijing Iqiyi Technology Co Ltd - ADR,Communication Services,Entertainment
NFGRF,BEIJINGWEST INDS INTL LTD SHS NEW,,
BKMM,"Bekem Metals, Inc.",Materials,Metals & Mining
BELFB,BEL FUSE INC CL B,Information Technology,"Electronic Equipment, Instruments & Components"
BELFA,"Bel Fuse, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
BDC,Belden Inc.,Information Technology,"Electronic Equipment, Instruments & Components"
BCUFF,BELL COPPER CORP,Materials,Metals & Mining
BLLI,"Bell Industries, Inc.",Information Technology,IT Services
BLPH,Bellerophon Therapeutics Inc,Health Care,Health Care Equipment & Supplies
BLCM,Bellicum Pharmaceuticals Inc,Health Care,Biotechnology
BRBR,Bellring Brands Inc,Consumer Staples,Personal Products
BTOW,Belltower Entertainment Corp,,
BLU,BELLUS Health Inc,Health Care,Biotechnology
BLWYF,BELLWAY PLC ORD,,
BMXC,Bemax Inc,Consumer Discretionary,Distributors
BFFI,"Ben Franklin Financial, Inc.",,
BMBN,"Benchmark Bankshares, Inc",Financials,Banks
BHE,"Benchmark Electronics, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
BMRK,Benchmark Energy Corp,,
BXRBF,BENDIGO AND ADELAIDE BANK LTD SHS,,
BNFT,Benefitfocus Inc,Information Technology,Software
BFYT,Benefytt Technologies Inc,Financials,Insurance
BNTC,Benitec Biopharma Inc,Health Care,Biotechnology
BNTRF,BENTON RESOURCES INC,Materials,Metals & Mining
BRGO,"Bergio International, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BERK,Berkshire Bancorp Inc,Financials,Banks
BRK.B,BERKSHIRE HATHAWAY INC DEL CL B NEW,Financials,Diversified Financial Services
BRK.A,Berkshire Hathaway Inc.,Financials,Diversified Financial Services
BHLB,"Berkshire Hills Bancorp, Inc.",Financials,Banks
BKSH,Berkshire Homes Inc,Real Estate,Real Estate Management & Development
CZSVF,BERKWOOD RESOURCES LTD,Materials,Metals & Mining
BKTOF,BERNER KANTONALBANK NAMEN AKT,,
BRY,Berry Corporation (Bry),Energy,"Oil, Gas & Consumable Fuels"
BERY,Berry Global Group Inc,Materials,Containers & Packaging
BSPK,Bespoke Extracts Inc,Health Care,Pharmaceuticals
BBY,Best Buy Co Inc,Consumer Discretionary,Specialty Retail
BEST,BEST Inc (ADR),Industrials,Air Freight & Logistics
BEMG,Beta Music Group Inc,,
BWAV,Betawave Corp,Communication Services,Media
BTTR,Better Choice Company Inc,Consumer Staples,Personal Products
BEEN,Better Environment Concepts Inc,,
BWMX,Betterware De Mexico SA de CV,,
HOPS,Between Dandelions Inc,,
BHBCQ,Beverly Hills Bancorp Inc.,,
BXLC,Bexil Corporation,Financials,Diversified Financial Services
XAIR,Beyond Air Inc,Health Care,Health Care Equipment & Supplies
BYOC,"Beyond Commerce, Inc.",Communication Services,Interactive Media & Services
BYND,Beyond Meat Inc,Consumer Staples,Food Products
BYSI,Beyondspring Inc,Health Care,Biotechnology
BZQIF,BEZEQ ISRAEL TELECOM LTD ORD,,
BGMD,"BG Medicine, Inc.",Health Care,Life Sciences Tools & Services
BGSF,BG Staffing Inc,Industrials,Professional Services
BGCP,"BGC Partners, Inc.",Financials,Capital Markets
BGII,"BGI, Inc.",,
BHMDF,BH MACRO LIMITED SHS USD CLASS,,
BHP,BHP Group Ltd (ADR),Materials,Metals & Mining
BBL,BHP Group PLC (ADR),Materials,Metals & Mining
BHPBF,BHP GROUP PLC SHS,,
BICEF,BIC SA ACT,,
BCYC,Bicycle Therapeutics PLC (ADR),Health Care,Biotechnology
BGFV,Big 5 Sporting Goods Corporation,Consumer Discretionary,Specialty Retail
BIG,"Big Lots, Inc.",Consumer Discretionary,Multiline Retail
BRBMF,Big Rock Brewery Inc (USA),Consumer Staples,Beverages
BRPAU,Big Rock Partners Acquisition Corp,,
BGKYF,BIG SKY PETROLEUM CORP,Energy,"Oil, Gas & Consumable Fuels"
BIGG,Big Tree Group Inc,Consumer Discretionary,Leisure Products
BH,Biglari Holdings Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BSGC,BigString Corp,,
BFLBF,BILFINGER SE SHS,,
BILI,Bilibili Inc - ADR,Communication Services,Entertainment
BILL,Bill.com Holdings Inc,Information Technology,Software
BLRDF,BILLERUD KORSNAS AKTIEBOLAG PU SHS,,
BMNM,"Bimini Capital Managment, Inc.",Financials,Mortgage Real Estate Investment Trusts (REITs)
BLTO,Bingo Nation Inc,,
BLAB,Bio Lab Naturals Inc,Health Care,Biotechnology
BMSN,Bio Matrix Scientific Group Inc,Health Care,Life Sciences Tools & Services
BDPT,Bioadaptives Inc,,
BASI,"Bioanalytical Systems, Inc.",Health Care,Life Sciences Tools & Services
BGES,Bio-Bridge Science Inc,Health Care,Biotechnology
BCDA,BioCardia Inc,Health Care,Biotechnology
BIOC,Biocept Inc,Health Care,Biotechnology
BIOX,Bioceres Crop Solutions Corp,Consumer Staples,Food Products
BICX,Biocorrx Inc,Health Care,Health Care Providers & Services
BCRX,"BioCryst Pharmaceuticals, Inc.",Health Care,Biotechnology
BICB,BioCube Inc,Industrials,Electrical Equipment
BDSI,"BioDelivery Sciences International, Inc.",Health Care,Pharmaceuticals
BIEL,Bioelectronics Corp,,
LITH,Bioelife Corp,,
BENH,Bio-En Corp Hldg,,
BOTH,Bioethics Ltd,,
BFNH,"BioForce Nanosciences Holdings, Inc.",Consumer Staples,Personal Products
BGAIF,BIOGAIA AB SHS B,,
BIIB,Biogen Inc,Health Care,Biotechnology
BHVN,Biohaven Pharmaceutical Holding Co Ltd,Health Care,Biotechnology
BKIT,BioHemp International Inc,,
BHTG,BioHiTech Global Inc,Industrials,Commercial Services & Supplies
BOVNF,BIOINVENT AB SHS,,
BKYI,"BIO-key International, Inc.",Information Technology,Software
BLGO,"BioLargo, Inc.",Materials,Chemicals
BIOL,BIOLASE Inc,Health Care,Health Care Equipment & Supplies
BLFS,BioLife Solutions Inc,Health Care,Health Care Equipment & Supplies
BMRN,BioMarin Pharmaceutical Inc.,Health Care,Biotechnology
BMSPF,Biomass Secure Power Inc,Energy,"Oil, Gas & Consumable Fuels"
BMRA,"Biomerica, Inc.",Health Care,Health Care Equipment & Supplies
BMXMF,BIOMERIEUX 69 MARCY LETOILE ORD,,
BMMX,Biomimix Inc,,
PHGE,Biomx Inc,Health Care,Biotechnology
BNET,"Bion Environmental Technologies, Inc.",Industrials,Commercial Services & Supplies
BNGO,BioNano Genomics Inc,Health Care,Life Sciences Tools & Services
BVXV,Biondvax Pharmaceuticals Ltd - ADR,Health Care,Pharmaceuticals
BGLC,BioNexus Gene Lab Coporation,,
BNKL,Bionik Laboratories Corp,Health Care,Health Care Equipment & Supplies
BIIO,Bionovate Technologies Corp,,
ONOV,BioNovelus Inc,,
BNTX,BioNTech SE - ADR,Health Care,Biotechnology
BPTH,Bio-Path Holdings Inc,Health Care,Biotechnology
BIPH,"Biophan Technologies, Inc.",Health Care,Health Care Equipment & Supplies
BPMX,Biopharmx Corp,Health Care,Pharmaceuticals
BOPO,Biopower Operations Corp,Energy,"Oil, Gas & Consumable Fuels"
BIOQ,"BIOQUAL, Inc.",,
BQST,Bioquest Corp,,
BIO.B,BIO-RAD LABORATORIES INC,Health Care,Life Sciences Tools & Services
BIO,"Bio-Rad Laboratories, Inc.",Health Care,Life Sciences Tools & Services
BIRMF,BIOREM INC,Industrials,Commercial Services & Supplies
BRTXQ,BioRestorative Therapies Inc,Health Care,Biotechnology
DEVV,Bioscience Neutraceuticals Inc,,
BSHF,"Bioshaft Water Technology, Inc.",Industrials,Commercial Services & Supplies
BSGM,BioSig Technologies Inc,Health Care,Health Care Equipment & Supplies
BSRC,BioSolar Inc,Information Technology,Semiconductors & Semiconductor Equipment
BSTC,BioSpecifics Technologies Corp.,Health Care,Biotechnology
BSTG,Biostage Inc,Health Care,Biotechnology
BSPM,Biostar Pharmaceuticals Inc,Health Care,Pharmaceuticals
BSEM,Biostem Technologies Inc,Health Care,Pharmaceuticals
BSYN,"Biosynergy, Inc.",,
BSYI,"BioSyntech, Inc.",Health Care,Biotechnology
BITGF,BIOTAGE AB PUBL SHS A,,
BMCS,Biotech Medics Inc,,
TECH,BIO-TECHNE Corp,Health Care,Life Sciences Tools & Services
BEAT,BioTelemetry Inc,Health Care,Health Care Providers & Services
BIESF,BIOTEST AG PREF SHS NO VTG,,
BTCY,Biotricity Inc,Health Care,Health Care Technology
BIVI,BioVie Inc,Health Care,Biotechnology
BTAI,BioXcel Therapeutics Inc,Health Care,Biotechnology
BIXT,Bioxytran Inc,Health Care,Biotechnology
BIZM,Biozoom Inc,,
BIQIF,BIQI International Holdings Corp,Consumer Staples,Food Products
BIRDF,BIRD CONSTRUCTION INC,Industrials,Construction & Engineering
BGI,Birks Group Inc,Consumer Discretionary,Specialty Retail
BPCP,Bishop Capital Corp,Real Estate,Real Estate Management & Development
BITA,Bitauto Hldg Ltd (ADR),Communication Services,Interactive Media & Services
ARSC,Bitcoin Crypto Currency Exchange Corp,Information Technology,Software
BFCH,BitFrontier Capital Holdings Inc,Information Technology,Software
BIMT,Bitmis Corp,,
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
BJ,BJs Wholesale Club Holdings Inc,Consumer Staples,Food & Staples Retailing
BKTI,BK Technologies Inc,Information Technology,Communications Equipment
BKFG,"BKF Capital Group, Inc.",,
BLGI,Black Cactus Global Inc,,
BDIMF,BLACK DIAMOND GROUP LTD,Industrials,Commercial Services & Supplies
BDTX,Black Diamond Therapeutics Inc,,
BKH,Black Hills Corp,Utilities,Multi-Utilities
BKIRF,BLACK IRON INC,Materials,Metals & Mining
BKI,Black Knight Inc,Information Technology,IT Services
ANFC,Black Ridge Oil & Gas Inc,Energy,"Oil, Gas & Consumable Fuels"
BKRP,Black Rock Petroleum Co,,
BLKG,Black Stallion Oil and Gas Inc,Energy,"Oil, Gas & Consumable Fuels"
BSM,Black Stone Minerals LP,Energy,"Oil, Gas & Consumable Fuels"
BLKB,"Blackbaud, Inc.",Information Technology,Software
BB,BlackBerry Ltd,Information Technology,Software
BLBX,Blackboxstocks Inc,Information Technology,Software
BLCK,Blackcraft Cult Inc,Consumer Discretionary,Distributors
BLRZF,BLACKHAWK GROWTH CORP,Financials,Capital Markets
BL,Blackline Inc,Information Technology,Software
BKMP,Blackout Media Corp,,
BPOL,Blackpoll Fleet International Inc,Industrials,Aerospace & Defense
BRTI,Blackridge Technology International Inc,Information Technology,Software
BFZ,Blackrock California Mun. Income Trust,,
BKCC,Blackrock Capital Investment Corp,Financials,Capital Markets
BHK,BlackRock Core Bond Trust,,
HYT,Blackrock Corporate High Yield Fund Inc,,
BTZ,Blackrock Credit Allocation Income Trust,,
DSU,"BlackRock Debt Strategies Fund, Inc.",,
BGR,Blackrock Energy and Resources Trust,,
CII,BlackRock Enhanced Capital and Income Fd,,
BDJ,BlackRock Enhanced Dividend Achievers Tr,,
BOE,BlackRock Enhanced Global Dividend Trust,,
EGF,BlackRock Enhanced Government Fund Inc,,
BGY,Blackrock Enhanced Internationl Dvdnd Tr,,
FRA,BlackRock Floating Rate Income SFI,,
BGT,BlackRock Floating Rate Income Trust,,
BFO,BlackRock Florida Municipal 2020 Term Tr,,
BMEZ,Blackrock Health Sciences Trust,,
BKT,Blackrock Income Trust Inc,,
BKN,BlackRock Inv. Quality Munic. Trust Inc.,,
BTA,BlackRock LT Municipal Advantage Trust,,
BLW,BlackRock Ltd. Duration Income Trust,,
BZM,Blackrock Maryland Municipal Bond Trust,,
MHE,Blackrock Massachusetts Tax-Exempt Trust,,
BIT,Blackrock Multi-Sector Income Trust,,
BBF,BlackRock Muni Income Investment Trust,,
MUI,Blackrock Muni Intermediate Drtn Fnd Inc,,
MNE,BlackRock Muni New York Intr. Dur. Fnd.,,
MUA,"Blackrock Muniassets Fund, Inc.",,
BKK,Blackrock Municipal 2020 Term Trust,,
BTT,Blackrock Municipal 2030 Trgt Trm Trst,,
BBK,BlackRock Municipal Bond Trust,,
BAF,BlackRock Municipal Inc Invt Qlty Trust,,
BYM,BlackRock Municipal Income Quality Trust,,
BFK,Blackrock Municipal Income Trust,,
BLE,BlackRock Municipal Income Trust II,,
MEN,Blackrock MuniEnhanced Fund Inc.,,
MFL,BlackRock MuniHolding Insured Investm,,
MUC,Blackrock MuniHoldings CA Insrd Fnd Inc.,,
MUH,Blackrock Muniholdings Fund II Inc.,,
MHD,BlackRock MuniHoldings Fund Inc.,,
MUE,Blackrock Muniholdings Insured Fund II,,
MHN,Blackrock Muniholdings New York Qulty Fd,,
MUJ,BlackRock Muniholdings NJ Quality Fd Inc,,
MUS,BlackRock MuniHoldings Quality Fund Inc,,
MVT,Blackrock Munivest Fund II Inc.,,
MVF,BlackRock MuniVest Fund Inc.,,
MZA,Blackrock Muniyield Arizona Fund Inc,,
MYC,BlackRock MuniYield California Fund Inc.,,
MYD,Blackrock Muniyield Fund Inc.,,
MYF,BlackRock MuniYield Investment Fund,,
MFT,Blackrock Muniyield Investment Qlty Fund,,
MIY,Blackrock Muniyield Michign Qulty Fd Inc,,
MYJ,"BlackRock MuniYield New Jersey Fund, Inc",,
MYN,BlackRock MuniYield NewYork Qlty Fnd Inc,,
MPA,BlackRock Muniyield Pennsylvania QltyFnd,,
MQT,Blackrock Muniyield Quality Fund II Inc.,,
MYI,Blackrock Muniyield Quality Fund III Inc,,
MQY,Blackrock Muniyield Quality Fund Inc.,,
MCA,Blackrock Muniyld California Quty Fd Inc,,
BSE,BlackRock New York Mncpl Inc Qlity Trust,,
BQH,Blackrock New York Municipal Bond Trust,,
BFY,Blackrock New York Municipal Incme Tr II,,
BNY,Blackrock New York Municipal Income Trst,,
BCX,BlackRock Resources and Commodities,,
BST,BlackRock Science & Technology Trust,,
BSD,Blackrock Strategic Municipal Trust,,
BBN,Blackrock Taxable Municipal Bond Trust,,
TCPC,BlackRock TCP Capital Corp,Financials,Capital Markets
BHV,BlackRock Virginia Municipal Bond Trust,,
BWMTF,BLACKROCK WORLD MINING TR PLC SHS,,
BLK,"BlackRock, Inc.",Financials,Capital Markets
BEGI,Blackstar Enterprise Group Inc,Financials,Capital Markets
BGB,Blackstone / GSO Strategic Credit Fund,,
BX,Blackstone Group Inc,Financials,Capital Markets
BXMT,Blackstone Mortgage Trust Inc,Financials,Mortgage Real Estate Investment Trusts (REITs)
BGX,Blackstone/GSO Long-Short Credit Income,,
BSL,Blackstone/GSO Senior Fltg Rt Term Fund,,
BCDS,Blaqclouds Inc,Information Technology,Software
BLNK,Blink Charging Co,Consumer Discretionary,Specialty Retail
BCII,Blockchain Industries Inc,Financials,Diversified Financial Services
BDR,"Blonder Tongue Labs, Inc.",Information Technology,Communications Equipment
BE,Bloom Energy Corp,Industrials,Electrical Equipment
BLMN,Bloomin' Brands Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BMBYF,BLOOMSBURY PUBLISHING PLC SHS,,
BDIC,Blow & Drive Interlock Corp,,
BLXX,Blox Inc,Materials,Metals & Mining
BCOR,Blucora Inc,Financials,Capital Markets
APRN,Blue Apron Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail
BLBD,Blue Bird Corp,Industrials,Machinery
BCRHF,Blue Capital Reinsurance Holdings Ltd,Financials,Insurance
BDCO,Blue Dolphin Energy Company,Energy,"Oil, Gas & Consumable Fuels"
BEAG,Blue Eagle Lithium Inc,,
BLFR,Blue Fire Equipment Corp,,
BGEM,Blue Gem Enterprise Inc,,
BHAT,Blue Hat Interactv Entrtnmnt Technlgy,Communication Services,Entertainment
BLHI,Blue Holdings Inc.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
BLPG,Blue Line Protection Group Inc,Industrials,Commercial Services & Supplies
BLUBF,BLUE RIBBON INCOME FD TR UNIT,,
BRRE,Blue Ridge Real Estate Co,Real Estate,Real Estate Management & Development
BRBI,"Blue River Bancshares, Inc.",Financials,Thrifts & Mortgage Finance
BKUCF,BLUE SKY URANIUM CORP,Energy,"Oil, Gas & Consumable Fuels"
BLSP,Blue Sphere Corp,Industrials,Commercial Services & Supplies
BSFC,Blue Star Foods Corp,,
BUSC,Blue Star Global Inc,,
KLEG,Blue Sugars Corp,Energy,"Oil, Gas & Consumable Fuels"
BLUU,Blue Water Global Group Inc,,
BWVI,Blue Water Ventures International Inc,,
BLUE,bluebird bio Inc,Health Care,Biotechnology
BFRE,BlueFire Renewables Inc,Energy,"Oil, Gas & Consumable Fuels"
BXG,Bluegreen Vacations Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BKEP,Blueknight Energy Partners L.P.,Energy,"Oil, Gas & Consumable Fuels"
BKEPP,Blueknight Energy Partners LP,Energy,"Oil, Gas & Consumable Fuels"
BXC,BlueLinx Holdings Inc.,Industrials,Trading Companies & Distributors
CBDEF,Bluenrgy Group Ltd,,
BPMC,Blueprint Medicines Corp,Health Care,Biotechnology
BKSD,Blueprint Technologies Inc,Communication Services,Diversified Telecommunication Services
BRG,Bluerock Residential Growth REIT Inc,Real Estate,Equity Real Estate Investment Trusts (REITs)
BLSFF,BLUESCOPE STEEL LTD SHS NEW,,
BGRP,Bluestem Group Inc,Consumer Discretionary,Internet & Direct Marketing Retail
BUGLF,BLUGLASS LTD SHS,,
BMCH,BMC Stock Holdings Inc,Industrials,Trading Companies & Distributors
BNCC,"BNCCORP, Inc.",Financials,Banks
BNTT,Bnet Media Group Inc,,
DHF,BNY Mellon High Yield Strategies Fund,,
DMF,Bny Mellon Municipal Income Inc,,
DSM,BNY Mellon Strategic Municipal BndFndInc,,
LEO,BNY Mellon Strategic Municipals Inc,,
BOWFF,Boardwalk REIT (USA),Real Estate,Equity Real Estate Investment Trusts (REITs)
BTIM,Boatim Inc,,
BYPLF,BODYCOTE PLC COM,,
BA,Boeing Co,Industrials,Aerospace & Defense
BOGN,"Bogen Communications International, Inc.",,
BSBK,Bogota Financial Corp,Financials,Thrifts & Mortgage Finance
WIFI,Boingo Wireless Inc,Communication Services,Wireless Telecommunication Services
BOIRF,BOIRON SA ACT,,
BCC,Boise Cascade Co,Materials,Paper & Forest Products
BOKF,BOK Financial Corporation,Financials,Banks
BOLB,BOL Bancshares Inc,,
BVLDF,BOLD VENTURES INC,Materials,Metals & Mining
BOLV,Bolivar Mining Corp.,,
BOLL,"Bollinger Industries, Inc",,
BOMXF,BOLSA MEXICANA DE VALORES S A SHS A,,
BDRBF,BOMBARDIER INC  -CL B,Industrials,Aerospace & Defense
BONL,Bonal International Inc,Information Technology,"Electronic Equipment, Instruments & Components"
BCEI,Bonanza Creek Energy Inc,Energy,"Oil, Gas & Consumable Fuels"
BONZ,Bonanza Goldfields Corp.,Materials,Metals & Mining
BBLG,Bone Biologics Corp,Health Care,Biotechnology
BJURF,BONJOUR HOLDINGS LIMITED SHS,,
BNSO,Bonso Electronics International Inc.,Information Technology,"Electronic Equipment, Instruments & Components"
BNEFF,BONTERRA ENERGY CORP,Energy,"Oil, Gas & Consumable Fuels"
BOTX,"Bontex, Inc.",,
BONTQ,Bon-Ton Stores Inc,Consumer Discretionary,Multiline Retail
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail
BOMH,Boomer Holdings Inc,,
BOOT,Boot Barn Holdings Inc,Consumer Discretionary,Specialty Retail
BAH,Booz Allen Hamilton Holding Corporation,Information Technology,IT Services
BIMI,BOQI International Medical Inc,Industrials,Machinery
BOALF,BORAL LTD NEW ORD,,
BRLXF,BORALEX INC,Utilities,Independent Power & Renewable Electricity Producers
BDRSF,BORDERS & SOUTHERN PETE PLC SHS,,
BOREF,Borealis Exploration Limited,Industrials,Electrical Equipment
BWA,BorgWarner Inc.,Consumer Discretionary,Auto Components
BRNE,Borneo Resource Investments Ltd,Materials,Metals & Mining
BRQS,Borqs Technologies Inc,Information Technology,"Technology Hardware, Storage & Peripherals"
BWMY,Borrowmoney.Com Inc,,
BOSC,BOS Better OnLine Sol (USA),Information Technology,Communications Equipment
BSHI,Boss Holdings Inc,Consumer Discretionary,Distributors
SAM,Boston Beer Company Inc,Consumer Staples,Beverages
BSTN,Boston Carriers Inc,Industrials,Marine
BOMN,BOSTON OMAHA Corp,Communication Services,Media
BPZZF,BOSTON PIZZA ROYALTIES INCM,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BPFH,Boston Private Financial Hldg Inc,Financials,Banks
BXP,"Boston Properties, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs)
BSX,Boston Scientific Corporation,Health Care,Health Care Equipment & Supplies
BTHE,Boston Therapeutics Inc,Health Care,Pharmaceuticals
BMXI,Botanical Research in Motn Labs Intl Inc,Materials,Metals & Mining
BORT,Botetourt Bankshares Inc,Financials,Banks
EPAY,Bottomline Technologies,Information Technology,Software
BOCOF,BOUGAINVILLE COPPER LTD ORD,,
BIF,Boulder Growth & Income Fund,,
PRZFF,BOUNDARY GOLD & COPPR MINING,Materials,Metals & Mining
BYOGF,BOUNTY OIL & GAS NL SHS,,
BOUYF,BOUYGUES SA ACT,,
BWL.A,Bowl America Incorporated,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BWTL,Bowlin Travel Centers Inc,Consumer Discretionary,Specialty Retail
BOX,Box Inc,Information Technology,Software
BOXL,Boxlight Corp,Information Technology,"Technology Hardware, Storage & Peripherals"
BOXS,Boxscore Brands Inc,Industrials,Machinery
BXXY,Boxxy Inc,,
BYD,Boyd Gaming Corporation,Consumer Discretionary,"Hotels, Restaurants & Leisure"
BYGRF,BOYUAN CONSTRUCTION GROUP,Industrials,Construction & Engineering
BPMP,BP Midstream Partners LP,Energy,"Oil, Gas & Consumable Fuels"
BP,BP plc (ADR),Energy,"Oil, Gas & Consumable Fuels"
BPT,BP Prudhoe Bay Royalty Trust,Energy,"Oil, Gas & Consumable Fuels"
BPIGF,BPI Energy Holdings Inc,Energy,"Oil, Gas & Consumable Fuels"
SLCFF,BPLI HOLDINGS INC,Industrials,Aerospace & Defense
BPMI,BPM Inc,,
BPOSF,BPOST SA/NV SHS,,
BTQNF,BQE WATER INC,Industrials,Commercial Services & Supplies
BRC,Brady Corp,Industrials,Commercial Services & Supplies
BHR,Braemar Hotels & Resorts Inc,Real Estate,Equity Real Estate Investment Trusts (REITs)
BRSF,Brain Scientific Inc,,
BCLI,Brainstorm Cell Therapeutics Inc,Health Care,Biotechnology
BRSYF,BRAINSWAY LTD SHS,,
BMBLF,BRAMBLES LTD SHS,,
BMPAF,BRAMPTON BRICK LTD  -CL A,Materials,Construction Materials
BDN,Brandywine Realty Trust,Real Estate,Equity Real Estate Investment Trusts (REITs)
BWG,Brandywineglbl Global Incm Opp Fund Inc,,
BAK,Braskem SA (ADR),,
BGAVF,BRAVADA GOLD CORP,Materials,Metals & Mining
BRAV,Bravada International Ltd.,Consumer Discretionary,Specialty Retail
BVTK,Bravatek Solutions Inc,Information Technology,Software
PCTZF,BRAVERN VENTURES LTD,,
OGNG,Bravo Enterprises Ltd,Utilities,Water Utilities
BRVO,Bravo Multinational Inc,,
BMIX,Brazil Minerals Inc,Materials,Metals & Mining
BTKGF,BREADTALK GROUP LTD SHS,,
BRBOF,BREMBO SPA CURNEO SHS,,
BRER,"Bresler & Reiner, Inc.",Real Estate,Real Estate Management & Development
BVILF,BREVILLE GROUP LTD SHS,,
BBRW,Brewbilt Manufacturing Inc,Consumer Discretionary,Internet & Direct Marketing Retail
BRFS,BRF SA (ADR),Consumer Staples,Food Products
BRYFF,BRI-CHEM CORP,Industrials,Trading Companies & Distributors
BBI,Brickell Biotech Inc,Health Care,Biotechnology
BRKWF,BRICKWORKS LTD SHS,,
BDGE,"Bridge Bancorp, Inc.",Financials,Banks
BBIO,BridgeBio Pharma Inc,Health Care,Biotechnology
BBGP,Bridgegate Pictures Corp,Communication Services,Entertainment
BLIN,Bridgeline Digital Inc,Information Technology,Software
BRDCY,Bridgestone Corp (ADR),Consumer Discretionary,Auto Components
BRDCF,BRIDGESTONE CORP COM,,
BWB,Bridgewater Bancshares Inc,Financials,Thrifts & Mortgage Finance
BDGY,Bridgeway National Corp.,Information Technology,Software
BRID,Bridgford Foods Corporation,Consumer Staples,Food Products
BGG,Briggs & Stratton Corporation,Industrials,Machinery
MNRL,Brigham Minerals Inc,Energy,"Oil, Gas & Consumable Fuels"
BFAM,Bright Horizons Family Solutions Inc,Consumer Discretionary,Diversified Consumer Services
BMTM,Bright Mountain Media Inc,Communication Services,Media
BEDU,Bright Scholar Education Holdngs Ltd-ADR,Consumer Discretionary,Diversified Consumer Services
BCOV,Brightcove Inc,Information Technology,IT Services
BRTE,"Brightec, Inc.",Materials,Chemicals
BHF,Brighthouse Financial Inc,Financials,Insurance
BTLN,Brightlane Corp,,
BRGC,BrightRock Gold Corp,,
BSIG,BrightSphere Investment Group Inc,Financials,Capital Markets
BTSR,Brightstar Information Tech Group Inc,Information Technology,IT Services
BV,Brightview Holdings Inc,Industrials,Commercial Services & Supplies
BCAUY,Brilliance China Automotive Hldg. (ADR),,
EAT,"Brinker International, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
